ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11567407,JC117488,1/15/2019 9:25,019XX W 65TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,726,7,15,67,14,1164382,1861554,2019,1/23/2019 11:26,41.77571806,-87.67294267,"(41.775718064, -87.672942665)"
11567408,JC117373,1/11/2019 16:00,035XX S MARSHFIELD AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,912,9,12,59,6,1165925,1881324,2019,1/18/2019 9:37,41.8299366,-87.66672408,"(41.829936602, -87.66672408)"
11567410,JC117555,1/15/2019 10:33,061XX S MAY ST,440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,RESIDENCE,FALSE,TRUE,712,7,16,68,08B,1169703,1864064,2019,1/25/2019 16:05,41.78249202,-87.65336364,"(41.782492024, -87.653363635)"
11567412,JC117078,1/14/2019 19:30,050XX S SHIELDS AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,FALSE,TRUE,935,9,3,37,04A,1174817,1871534,2019,1/23/2019 11:26,41.80287797,-87.63439165,"(41.802877971, -87.634391647)"
11567414,JC117655,1/15/2019 10:15,013XX W 71ST ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,734,7,6,67,08A,1168443,1857678,2019,1/23/2019 11:26,41.76499529,-87.65816697,"(41.764995286, -87.658166965)"
11567415,JC117532,1/14/2019 8:00,008XX W SHERIDAN RD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1923,19,46,6,17,1169949,1926105,2019,1/23/2019 11:26,41.95273197,-87.65065283,"(41.952731972, -87.650652832)"
11567428,JC117588,1/15/2019 10:50,011XX N CLARK ST,330,ROBBERY,AGGRAVATED,BANK,TRUE,FALSE,1824,18,2,8,3,1175334,1907851,2019,1/23/2019 11:26,41.90252292,-87.63140683,"(41.902522915, -87.63140683)"
11567429,JC117444,1/15/2019 8:13,062XX S DREXEL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,313,3,20,42,14,1183080,1863781,2019,1/23/2019 11:26,41.7814147,-87.60432891,"(41.781414696, -87.604328907)"
11567430,JC117613,1/15/2019 10:15,065XX S KEDZIE AVE,460,BATTERY,SIMPLE,GAS STATION,TRUE,FALSE,831,8,17,66,08B,1156172,1861266,2019,1/23/2019 11:26,41.77509681,-87.70304769,"(41.775096813, -87.703047685)"
11567433,JC117557,1/15/2019 10:06,035XX E 114TH ST,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PRIVATE, BUILDING",TRUE,FALSE,433,4,10,52,08B,1201660,1829983,2019,1/23/2019 11:26,41.68821818,-87.53735791,"(41.688218178, -87.537357913)"
11567434,JC117614,1/15/2019 10:43,016XX S KARLOV AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE,FALSE,1012,10,24,29,18,1149321,1891508,2019,1/23/2019 11:26,41.85822022,-87.72738107,"(41.858220216, -87.727381065)"
11567435,JC117705,1/14/2019 23:00,062XX W WAVELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1633,16,36,17,14,1134163,1923952,2019,1/23/2019 11:26,41.94753078,-87.7822563,"(41.947530779, -87.782256301)"
11567447,JC116784,1/14/2019 16:15,023XX S LAWNDALE AVE,460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,FALSE,TRUE,1013,10,22,30,08B,1152073,1888231,2019,1/23/2019 11:26,41.849174,-87.71736571,"(41.849173995, -87.717365709)"
11567449,JC117610,1/15/2019 10:52,062XX W BERTEAU AVE,560,ASSAULT,SIMPLE,STREET,TRUE,FALSE,1624,16,38,15,08A,1133912,1927261,2019,1/23/2019 11:26,41.95661545,-87.78310084,"(41.956615446, -87.783100841)"
11567450,JC117678,1/14/2019 15:00,031XX N LINDER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2514,25,31,19,14,1139153,1920288,2019,1/23/2019 11:26,41.93738689,-87.76400348,"(41.937386892, -87.764003479)"
11567454,JC117737,1/15/2019 12:10,006XX N TRUMBULL AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,1121,11,27,23,18,1153268,1903979,2019,1/23/2019 11:26,41.89236462,-87.71256192,"(41.892364619, -87.712561921)"
11567455,JC112924,1/11/2019 12:20,009XX N KINGSBURY ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,1822,18,27,8,26,1171921,1906423,2019,1/23/2019 16:13,41.89868035,-87.64398538,"(41.898680349, -87.643985382)"
11567456,JC117606,1/14/2019 16:00,073XX W BARRY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2511,25,29,17,08B,1126394,1919795,2019,1/23/2019 11:26,41.93625698,-87.81090693,"(41.936256982, -87.810906929)"
11567458,JC117680,1/14/2019 21:00,016XX N NASHVILLE AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2513,25,29,25,5,1132165,1910217,2019,1/23/2019 11:26,41.90987532,-87.78992056,"(41.909875324, -87.789920558)"
11567459,JC117721,1/13/2019 14:00,094XX S LAFLIN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,2222,22,21,73,08B,1167988,1842195,2019,1/23/2019 11:26,41.72251753,-87.66027854,"(41.722517534, -87.660278543)"
11567463,JC117698,1/14/2019 21:00,065XX S ST LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,321,3,20,42,14,1181356,1861866,2019,1/23/2019 11:26,41.77619969,-87.61070841,"(41.776199687, -87.610708414)"
11567465,JC117710,1/5/2019 9:20,060XX S ARTESIAN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,825,8,16,66,6,1161071,1864615,2019,1/18/2019 9:37,41.784187,-87.68499592,"(41.784187, -87.684995922)"
11567466,JC117717,1/15/2019 10:00,023XX W 80TH ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,835,8,18,70,6,1162221,1851551,2019,1/23/2019 11:26,41.74831366,-87.68114274,"(41.748313655, -87.681142739)"
